,rank,NAME,BW logo URL,White on Black,Theme color,Theme Image,Country
,47,Royalty Pharma,https://companieslogo.com/img/orig/RPRX.D-6e127a7e.png?t=1720244493,TRUE,,,🇬🇧 UK
,48,Divis Laboratories,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Divi%27s_Laboratories_Logo.svg/250px-Divi%27s_Laboratories_Logo.svg.png,,,,🇮🇳 India
,249,Neurocrine Biosciences,https://companieslogo.com/img/orig/NBIX.D-a3bc5a83.png?t=1720244493,TRUE,,,🇺🇸 USA
,150,Cipla,https://ciplaleuprolide.com/wp-content/uploads/2022/01/Cipla-KO-Logo.png,TRUE,,,🇮🇳 India
,151,United Therapeutics,https://companieslogo.com/img/orig/UTHR.D-9768fb46.png?t=1720244494,TRUE,,,🇺🇸 USA
,252,Zydus Lifesciences,https://companieslogo.com/img/orig/ZYDUSLIFE.NS-ed3a9e6f.png?t=1720244494,,,,🇮🇳 India
,53,Hansoh Pharma,https://companieslogo.com/img/orig/3692.HK-96267e94.png?t=1720244490,,,,🇨🇳 China
,154,Dr. Reddy's,https://companieslogo.com/img/orig/RDY.D-7d93fc0a.png?t=1720244493,TRUE,,,🇮🇳 India
,155,Viatris,https://companieslogo.com/img/orig/VTRS.D-d77b5de3.png?t=1720244494,TRUE,,,🇺🇸 USA
,56,Torrent Pharmaceuticals,https://companieslogo.com/img/orig/TORNTPOWER.NS.D-bb7b6a2f.png?t=1720244494,TRUE,,,🇮🇳 India
,57,Insmed,https://www.aboutntm.com/_assets/img/Icon-Insmed-logo.png,TRUE,,,🇺🇸 USA
,258,Sarepta Therapeutics,,,,,🇺🇸 USA
,159,Shionogi,https://upload.wikimedia.org/wikipedia/commons/8/89/Shionogi_Seiyaku_logo.svg,,,,🇯🇵 Japan
,160,Medpace,https://iconape.com/wp-content/files/zf/261290/svg/medpace-logo-logo-icon-png-svg.png,,,,🇺🇸 USA
,61,Incyte,https://companieslogo.com/img/orig/INCY.D-09028ed2.png?t=1720244492,,,,🇺🇸 USA
,262,Bio-Techne,https://www.bio-techne401k.com/wps/wcm/connect/e57f9a6f-5f9f-45e8-81f0-e1bc0678c998/1/BT-logo-white.png?MOD=AJPERES,TRUE,,,🇺🇸 USA
,63,Lupin Limited,https://companieslogo.com/img/orig/LUPIN.NS.D-bcc9235d.png?t=1720774266,TRUE,,,🇮🇳 India
,264,Alteogen,https://companieslogo.com/img/orig/196170.KQ-0ed8f914.png?t=1720617866,,,,🇰🇷 S. Korea
,65,Recordati,https://companieslogo.com/img/orig/REC.MI-cf1e0e06.png?t=1720244493,,,,🇮🇹 Italy
,66,Eisai,https://us.eisai.com/-/media/Project/EIsai/USEisaiRedesign/media-center/media-kit/Downloadable-Files/Eisai-Logos/CorporateLogomark_allK_png.png,,,,🇯🇵 Japan
,167,kyowa Kirin,https://companieslogo.com/img/orig/4151.T-b80c1a98.png?t=1720244490,,,,🇯🇵 Japan
,168,Catalent,https://companieslogo.com/img/orig/CTLT_BIG.D-6ad6ed2f.png?t=1720244491,TRUE,,,🇺🇸 USA
,269,Aurobindo Pharma,https://companieslogo.com/img/orig/AUROPHARMA.NS.D-1074d9c7.png?t=1721227258,TRUE,,,🇮🇳 India
,170,Mankind Pharma,https://companieslogo.com/img/orig/MANKIND.NS.D-00bcc35c.png?t=1720244492,TRUE,,,🇮🇳 India
,171,Legend Biotech,https://images.ctfassets.net/x75k2igozkgb/7Lkc8eQGDGvBsRTF7cNwwm/77c627b52a1d82370674cdabea162614/LEGEND_Logo_RGB.png,,,,🇺🇸 USA
,72,Ipsen,https://companieslogo.com/img/orig/IPN.PA_BIG.D-053ea1e1.png?t=1720244492,TRUE,,,🇫🇷 France
,173,Zealand Pharma,https://technolution-tn.com/wp-content/uploads/2024/01/zealand_logo_RGB_011-1024x369.png,,,,🇩🇰 Denmark
,174,Walgreens Boots Alliance,,,,,🇺🇸 USA
,75,Swedish Orphan Biovitrum,https://www.sobi.com/sites/default/files/ma/SOBI_logo_PNG_0.png,,,,🇸🇪 Sweden
,76,Vaxcyte,https://companieslogo.com/img/orig/PCVX_BIG-3ce7dbe1.png?t=1720244493,,,,🇺🇸 USA
,77,Roivant Sciences,https://companieslogo.com/img/orig/ROIV_BIG.D-d80b412f.png?t=1720244493,TRUE,,,🇬🇧 UK
,78,Cerevel Therapeutics,https://companieslogo.com/img/orig/CERE.D-2a116177.png?t=1720244491,TRUE,,,🇺🇸 USA
,179,Sinopharm,https://s3-symbol-logo.tradingview.com/sinopharm-group-co-ltd--600.png,,,,🇨🇳 China
,180,Alkem Laboratories,https://marvel-b1-cdn.bc0a.com/f00000000272227/www.anaplan.com/content/dam/anaplan/wp-content/uploads/2022/10/alkem-600.png,TRUE,,,🇮🇳 India
,181,Intra-Cellular Therapies,https://companieslogo.com/img/orig/ITCI.D-aeaf4dcd.png?t=1720244492,TRUE,,,🇺🇸 USA
,182,Summit Therapeutics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwNTmy-Vaf4LQEmSiF9RJgp8Pfgcu7Cu34tw&s,TRUE,,,🇬🇧 UK
,183,Ascendis Pharma,https://ascendispharma.dk/wp-content/uploads/sites/4/2020/08/AscendisLogo-white.png,TRUE,,,🇩🇰 Denmark
,184,Exelixis,https://ir.exelixis.com/static-files/854e1b52-c35f-4d9d-8065-15d3263f8fab,,,,🇺🇸 USA
,85,Revolution Medicines,https://companieslogo.com/img/orig/RVMD.D-ea8b1ecd.png?t=1720244493,TRUE,,,🇺🇸 USA
,86,Halozyme Therapeutics,https://companieslogo.com/img/orig/HALO.D-56392a40.png?t=1720244492,TRUE,,,🇺🇸 USA
,987,Elanco,https://companieslogo.com/img/orig/ELAN_BIG.D-4ddc368a.png?t=1720244491,TRUE,,,🇺🇸 USA
,188,Jazz Pharmaceuticals,https://companieslogo.com/img/orig/JAZZ-a825d5fe.png?t=1720244492,,,,🇮🇪 Ireland
,189,Sino Biopharmaceutical,https://companieslogo.com/img/orig/1177.HK-9c68346c.png?t=1720244490,,,,🇨🇳 China
,90,Abbott India,https://www.indianpharmapost.com/public/thumbs/news/2021/08/9896/Abbott-Logo-.png,,,,🇮🇳 India
,91,Ionis Pharmaceuticals,https://uspto.report/TM/97618804/mark.png,,,,🇺🇸 USA
,592,Bachem,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzDQmCUCqYYJgucY0G-CrpoYSTvZPYKd8hIA&s,,,,🇨🇭 Switzerland
,93,Orion Corporation,https://companieslogo.com/img/orig/ORNAV.HE_BIG.D-15d80386.png?t=1720244493,TRUE,,,🇫🇮 Finland
,294,Ono Pharmaceutical,https://www.onscope.com/ipowner/en/ip/tmus/image/79378203,,,,🇯🇵 Japan
,195,Glaukos,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOUjmB8MJkXVmiqcFqDOIhJH4YJzobTpK12cAtdKSReBMSrxlLKCt9S4pisYc3pFrQMA&usqp=CAU,,,,🇺🇸 USA
,196,Cytokinetics,https://www.sec.gov/Archives/edgar/data/1061983/000119312520194746/g939913g97t32.jpg,,,,🇺🇸 USA
,97,Viking Therapeutics,https://logo.stocklight.com/NASDAQ/VKTX.png,,,,🇺🇸 USA
,98,WuXi Biologics,https://abi-lab.com/wp-content/uploads/2024/01/wuxi-biologics-logo.png,,,,🇨🇳 China
,299,Lundbeck,https://banner2.cleanpng.com/20180702/oof/kisspng-lundbeck-business-pharmaceutical-industry-pharmace-lundbeck-5b39c299615e50.7825384915305120253988.jpg,,,,🇩🇰 Denmark
,1100,Blueprint Medicines,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWMb5CdihRNrfMm3xbbqBQHhW58SfYS5Gb0Q&s,TRUE,,,🇺🇸 USA
,,Celgene,https://cdn.worldvectorlogo.com/logos/celgene-1.svg,,,,
