RANK by cap,SYMBOL,MARKET CAP,PRICE,CHANGE 1D,TRADING VOLUME,NAME,BW logo URL,White on Black,Theme color,Theme Image
208,SIRI,12.17B,3.16,1.61%,"9,559,437",Sirius XM ,https://d1io3yog0oux5.cloudfront.net/_d52da129dcb9c7d4843aefc9143c1ee3/siriusxm/db/2301/21011/hover_image.png,TRUE,,silicon
21,QCOM,183.75B,164.95,5.66%,"9,469,521",QUALCOMM,,,,silicon
97,ON,30.94B,72.23,8.80%,"9,444,098",ON Semiconductor ,https://companieslogo.com/img/orig/ON_BIG.D-1bbc7604.png?t=1720244493,TRUE,,silicon
119,APP,25.65B,76.73,14.20%,"9,301,320",AppLovin ,https://woodensword.games/wp-content/uploads/partner_al_en.jpg,,,silicon
217,HST,11.40B,16.23,1.25%,"9,265,381",Host Hotels & Resorts,https://companiesmarketcap.com/img/company-logos/256/HST.png,,,silicon
44,SBUX,85.84B,75.75,0.61%,"8,813,572",Starbucks ,,,,silicon
356,RCM,5.90B,13.97,0.07%,"8,717,685",R1 RCM,https://companieslogo.com/img/orig/RCM_BIG.D-0d44eeb8.png?t=1720248253,TRUE,,silicon
26,AMAT,157.77B,190.55,6.74%,"8,553,097",Applied Materials,https://dwglogo.com/wp-content/uploads/2016/05/Applied_Materials_logo_black.png,,,silicon
77,MCHP,41.46B,77.28,7.33%,"8,423,159",Microchip Technology,https://w7.pngwing.com/pngs/772/896/png-transparent-microchip-technology-integrated-circuits-chips-nasdaq-mchp-nxp-semiconductors-special-offer-miscellaneous-company-text.png,,,silicon
51,CSX,66.40B,34.25,1.87%,"8,362,768",CSX ,https://i.pinimg.com/originals/5b/7f/22/5b7f22f34199730c413368add921a9f1.jpg,,,silicon
347,AUR,6.07B,3.53,6.65%,"8,166,850",Aurora Innovation,https://companieslogo.com/img/orig/AUR_BIG.D-5a55839f.png?t=1720244490,,,silicon
50,ABNB,72.50B,114.64,1.44%,"7,936,355",Airbnb,https://static-00.iconduck.com/assets.00/airbnb-icon-951x1024-k9ex1vkq.png,TRUE,,silicon
176,DKNG,14.83B,30.54,1.33%,"7,759,159",DraftKings,https://www.draftkings.com/v2/landingpages-assets/blt02fb52e5e7a6fbb9/bltc1af4319dc7e4034/62b20f0b2680af5922337881/DraftKings_White.png,TRUE,,silicon
41,GILD,94.17B,75.59,2.15%,"7,620,042",Gilead Sciences,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS27PAYzbKL_pRRjmJjg2-L0vLtQHAj6vs-YFdyTVkKedqJrEw6,,,silicon
69,COIN,47.79B,192.32,7.50%,"7,255,831",Coinbase Global,https://vectorseek.com/wp-content/uploads/2023/09/Coinbase-New-2021-Logo-Vector.svg-.png,,,silicon
87,EXC,37.56B,37.54,-0.79%,"7,062,012",Exelon ,https://companieslogo.com/img/orig/EXC.D-2ab44429.png?t=1720244491,,,silicon
